Title,total_reviews,avg_rating
Hannibal,2788,3.04
"Wizard's First Rule (Sword of Truth, Book 1)",1801,3.91
"Eldest (Inheritance, Book 2)",1635,3.68
The Awakening,932,3.89
"The Scarlet Letter (Lake Illustrated Classics, Collection 2)",774,3.82
Stranger In A Strange Land: Library Edition,741,3.96
A Crown Of Swords (Turtleback School & Library Binding Edition) (Wheel of Time (Pb)),717,3.87
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,617,3.98
Stone of Tears (Sword of Truth Series),536,3.94
Stone Of Tears (Turtleback School & Library Binding Edition) (Sword of Truth),536,3.94
Created to Be His Help Meet: Discover How God Can Make Your Marriage Glorious,527,3.7
Plainsong,512,3.94
