genre,avg_price,total_books
Technology & Engineering,46.45,2339
Medical,45.47,1858
Social Science,43.26,5420
Mathematics,37.83,1884
Literary Criticism,35.01,2044
Computers,34.97,10347
Science,34.85,4787
Foreign Language Study,33.31,2809
Law,32.92,1038
Language Arts & Disciplines,30.97,3256
Bibles,30.68,1082
Transportation,29.66,1285
HarperBusiness,26.86,1055
Philosophy,26.74,3128
Drama,26.24,1623
Art,26.2,2414
History,25.98,13529
Business & Economics,25.14,12673
Political Science,25.1,3915
Photography,23.55,1149
Psychology,22.53,4583
Education,22.41,4951
Nature,21.59,2433
Fiction,20.08,70756
Study Aids,19.9,1114
Reference,19.85,2100
Biography & Autobiography,19.33,14760
Gardening,18.9,1029
Sports & Recreation,18.49,4301
Performing Arts,18.48,2389
Music,18.11,4739
True Crime,17.44,1424
Religion,17.33,21341
Poetry,17.21,1829
Games & Activities,16.01,1116
Crafts & Hobbies,15.98,3736
Cooking,15.84,8071
Health & Fitness,15.01,8565
Travel,14.68,1929
Body,14.6,7163
Mind & Spirit,14.6,7163
Charity-schools,14.02,1523
Humor,13.74,2865
Family & Relationships,13.62,8993
Self-Help,13.52,5067
Juvenile Fiction,13.37,19465
Comics & Graphic Novels,13.3,2514
Games,13.15,1236
Juvenile Nonfiction,11.69,6815
Young Adult Fiction,11.25,1992
Pets,9.05,3010
